Transect	Quadrant	soil.type	X	Y	NO3f	NH4f	NO3i	NH4i	NMIN	NETN	PO4	Al	Ca	K	Mg	P	SBC	SN	TotalN	TotalC			
T1	1	V	827229.2087	1152952.749	85.753	153.931	173.2023579	121.1551266	-1.952621	-3.123198	6.352858332	1194.029818	99.78449775	77.18905598	45.78582701	12.18030436	222.7593807	294.3574845	0.482999871	6.858598162	0.392307186	0.151802121	0.000651511
T1	2	V	827229.7738	1152951.923	112.764	199.004	199.8716141	119.7603934	-0.280882	-3.110998	2.588448973	1333.843305	56.58664022	48.65519825	2.387737423	43.47523256	107.6295759	319.6320075	0.376441649	5.834845561			
T1	3	V	827230.3388	1152951.098	99.209	106.382	166.6598369	142.3932288	-3.695051	-2.408949	1.483859904	1395.051531	102.4223908	78.75232121	53.16733892	9.322535994	234.3420509	309.0530657	0.384942	5.004246006			
T1	4	V	827230.9038	1152950.273	115.823	92.487	193.9853311	128.7295977	-4.085886	-2.791514	5.124572474	1634.900086	90.3616639	68.91171648	74.17817041	2.247972159	233.4515508	322.7149288	0.332203322	3.986439864			
T1	5	V	827231.4689	1152949.448	144.953	231.531	238.7897197	184.2589987	-1.663018	-3.351299	1.010532678	1430.651109	127.3999504	102.1224415	71.49386108	9.489895113	301.016253	423.0487184	0.384708322	5.193562343			
T1	6	V	827232.0339	1152948.623	139.993	90.956	229.7999888	114.1492316	-4.035745	-3.20741	0.98308205	1405.537484	75.25758849	76.39903292	48.06177024	2.843296845	199.7183917	343.9492204	0.375960481	4.79349613			
T1	7	V	827232.599	1152947.798	113.306	415.702	163.4940926	316.1653497	1.762447	-1.792426	0.969386324	1555.948596	150.7413476	97.92706719	75.25193915	8.627384815	323.9203539	479.6594423	0.378121132	4.726514153			
T1	8	V	827233.164	1152946.973	132.936	226.344	190.0553135	111.7634214	2.052197	-2.039966	4.510190208	1308.761913	80.6712594	79.63814525	61.21425256	3.526704692	221.5236572	301.8187349	0.370006568	4.255075533			
T1	9	V	827233.729	1152946.148	148.414	96.38	220.177365	135.4816756	-3.959453	-2.562966	2.671175028	1503.778271	149.6864553	105.4437672	86.92880056	11.22175674	342.0590231	355.6590406	0.348011639	4.4371484			
T1	10	V	827234.2941	1152945.323	115.1179041	293.2713004	205.4009644	118.3198005	3.023873	-3.224395	2.578943976	1383.765324	122.0389914	108.7853425	87.12561922	2.971940339	317.9499531	323.7207649	0.348864686	4.884105599			
T1	11	V	827234.8591	1152944.498	107.2232402	337.4931709	129.6649914	309.7826136	0.188172	-0.801491	0	1162.258697	70.12581001	73.43820723	62.82914026	1.598528356	206.3931575	439.447605	0.378427952	5.014170363			
T1	12	V	827235.4242	1152943.673	99.2374828	340.1887739	167.3481074	290.290524	-0.650442	-2.432522	1.462131894	1200.674895	51.66305187	63.30215156	50.49634633	0.625477633	165.4615498	457.6386314	0.36002224	4.410272443			
T1	13	V	827235.9892	1152942.848	134.4159074	190.2020877	192.0955523	219.383955	-3.102197	-2.059987	1.379335279	1164.820566	54.3947319	68.25563016	49.62379313	1.639262485	172.2741552	411.4795073	0.381633101	4.675005489			
T1	14	V	827236.5542	1152942.023	115.6612085	260.4543339	177.1827199	247.1858827	-1.723324	-2.197197	4.403159556	1353.31688	102.2098753	105.3165339	68.42236333	5.408353216	275.9487725	424.3686026	0.35865155	4.841795927			
T1	15	V	827237.1193	1152941.198	85.33860675	374.6099043	124.3642017	406.5040031	-2.532846	-1.393771	3.278948769	1105.113809	74.6479172	71.29263324	39.68747046	3.465063149	185.6280209	530.8682048	0.478202043	5.929705333			
T1	16	V	827237.6843	1152940.373	110.166305	146.1218535	130.9005272	134.6674118	-0.331421	-0.740508	0.855904558	1358.951918	76.71750441	90.59149324	53.48378439	3.65051974	220.792782	265.567939	0.366395992	4.579949905			
T1	17	V	827238.2494	1152939.547	143.509816	389.1795193	228.7352712	334.1790754	-1.079465	-3.043766	1.505358778	1207.614061	50.78540561	72.00645449	47.52408239	2.849608986	170.3159425	562.9143466	0.379444428	4.553333133			
T1	18	V	827238.8144	1152938.722	95.55818394	115.7668027	144.5404817	147.6220814	-2.887056	-1.749368	0.790846158	1093.935134	33.15494859	58.92636324	32.50897839	0.074343718	124.5902902	292.1625631	0.368213207	4.326505182			
T1	19	V	827239.3794	1152937.897	143.016814	177.5794096	176.4237724	206.2595921	-2.217398	-1.193106	0	1179.704898	62.34395017	78.74823535	42.5721146	0.898443725	183.6643001	382.6833645	0.286900112	3.347167969			
T1	20	V	827239.9445	1152937.072	93.93379773	161.8048554	97.37872992	41.02908833	4.190387	-0.123033	0	1347.682588	50.58534463	73.52431939	40.30299215	1.366134585	164.4126562	138.4078183	0.171958493	2.493398146			
T1	21	V	827240.5095	1152936.247	67.16589048	59.63218404	62.6971566	102.5912094	-1.374653	0.159598	0	1270.801101	59.04871911	44.44056904	31.77531387	0.365737393	135.264602	165.288366	0.28812995	2.977342813			
T1	22	V	827241.0746	1152935.422	128.024385	324.062623	196.6804207	330.6847722	-2.688507	-2.452001	0	1502.721327	72.03133671	79.32577476	57.26006975	2.520211643	208.6171812	527.3651929	0.35770864	3.845367875			
T1	23	V	827241.6396	1152934.597	184.0205949	299.6464672	210.1427113	336.9937081	-2.266763	-0.932933	0.294482894	1237.161078	44.58296537	63.54582369	40.82595602	1.928844474	148.9547451	547.1364194	0.37718449	4.149029393			
T1	24	V	827242.2046	1152933.772	151.3677333	366.4962281	246.1384078	443.2948011	-6.127473	-3.384667	0.777628322	1943.238261	149.0276687	132.2417623	77.33967643	3.001258729	358.6091074	689.4332089	0.36006919	3.960761091			
T1	25	V	827242.7697	1152932.947	101.2645336	71.45035247	114.7804149	64.66137995	-0.240247	-0.48271	0	1180.008667	38.27081254	54.39617543	23.40374628	0.471200907	116.0707343	179.4417949	0.193886985	2.714417789			
T1	26	V	827243.3347	1152932.122	90.73593606	329.2347537	84.54520123	225.1781773	3.937404	0.221098	0	1130.087121	107.2334028	63.36205274	46.01190132	8.433074506	216.6073569	309.7233785	0.17586873	2.550096581			
T1	27	V	827243.8998	1152931.297	93.23401246	188.6401734	99.83274696	343.5077353	-5.766653	-0.235669	0.178561526	1265.272343	86.39245144	62.3080182	38.28737989	1.017878548	186.9878495	443.3404823	0.282255653	3.575238266			
T1	28	V	827244.4648	1152930.472	105.382471	408.0721915	122.6858293	177.0719176	7.632033	-0.617977	3.195962591	1008.601996	188.1408552	67.36827362	54.67659248	1.305097638	310.1857213	299.7577469	0.269402402	2.963426426			
T1	29	V	827245.0298	1152929.647	77.92977727	167.6532586	69.26558574	178.3231712	-0.071633	0.309435	0	1268.845794	44.91085866	41.15331779	29.38266915	0.534523623	115.4468456	247.5887569	0.283898448	3.028250117			
T1	30	V	827245.5949	1152928.822	104.0613516	148.92307	132.43694	60.31564921	2.151137	-1.013414	0.482460672	1544.978316	68.58042935	67.27171119	43.85961469	2.900587767	179.7117552	192.7525892	0.261161183	3.656256565			
T1	31	V	827246.1599	1152927.997	129.6803256	151.7101791	187.9288079	135.1984892	-1.4906	-2.080303	0.1865767	1424.821015	109.1056066	70.50389874	56.88990504	2.199348651	236.4994104	323.1272971	0.360173591	3.961909502			
T1	32	V	827246.725	1152927.172	149.9857073	354.3875031	210.4485548	305.7725092	-0.423138	-2.159387	1.14643389	1074.887161	66.48727535	62.12165763	40.17349071	0.943516372	168.7824237	516.221064	0.45183591	4.879827829			
T1	33	V	827247.29	1152926.346	123.9819335	465.8829063	0	511.104213	2.81288	4.427926	3.513928697	1508.348266	165.9229634	99.68461078	62.15179879	11.66298065	327.759373	511.104213	0.341042777	4.433556098			
T1	34	V	827247.855	1152925.521	130.5481114	125.0727728	181.4236431	92.49771481	-0.653588	-1.816983	1.535785673	1200.164209	109.2335752	70.86074348	41.86444911	1.300548723	221.9587678	273.9213579	0.371926897	4.184177592			
T1	35	V	827248.4201	1152924.696	127.5762223	423.8223485	182.9867799	378.3532206	-0.355051	-1.978948	3.509909097	1216.190098	122.4009609	78.53554545	60.64362734	9.87508521	261.5801337	561.3400005	0.386106866	4.440228955			
T1	36	V	827248.9851	1152923.871	131.8818952	159.3827079	187.8906637	179.7479632	-2.727644	-2.000313	3.241204901	1274.65207	79.48993137	87.3942556	46.28264574	3.875664464	213.1668327	367.6386269	0.362828033	4.081815375			
