tree_number,diameter,height
1,134.68,45.62
2,64.38,30.1
3,47.96,28.42
4,38.75,24.87
5,40.95,24.99
6,61.66,28.08
7,52.88,23.64
8,59.24,31.77
9,45.01,30.15
10,74.4,32.63
11,44.61,24.79
12,54.39,26.11
13,39,23
14,64.48,28.51
15,74.21,32.34
16,63.18,29.9
17,71.43,32.72
18,51.52,27.48
19,64.61,29.56
20,68.16,31.63
21,82.71,37.42
22,58.28,28.4
23,50.62,25.15
24,60.56,28.68
25,50.59,27.26
26,73.12,32.74
27,57.19,28.23
28,51.91,30.84
29,42.13,24.69
30,49.78,26.19
31,55.26,25.81
32,81.77,35.03
33,70.16,31.91
34,48.78,26.24
35,79.54,33.98
36,77.3,33.35
37,42.53,22.09
38,36.73,22.11
39,62.33,29.65
40,71.75,32.53
41,43.69,24.03
42,54.59,25.72
43,68.51,30.52
44,61.09,33.59
45,67.41,34.54
46,49.79,26.9
47,62.82,29.41
48,46.27,24.47
49,56.64,27.25
50,60.68,30.06
51,62.46,30.12
52,47.98,26.16
53,58.64,28.78
54,42.02,23.92
55,49.9,26.03
56,39.04,24.11
57,47.13,24.11
58,61.93,29.22
59,57.45,26.98
60,62.4,31.3
61,66.12,35.78
62,66,29.17
63,84.22,38.26
64,91.94,38.4
65,87.6,36.79
66,68.61,31.07
67,49.32,24.48
68,60.39,28.15
69,52.31,24.89
70,52.31,24.98
71,61.44,27.53
72,40.47,22.09
73,67.55,31.58
74,61.19,28.25
75,59.97,26.15
76,47.67,24.94
77,63.14,28.05
78,63.49,28.28
79,58.69,26.84
80,73.92,31.74
81,84.07,34.94
82,81.09,35.17
83,70.98,32.7
84,54.32,23.8
85,61.46,27.7
86,61.7,29.66
87,59.86,28.83
88,61.44,28.13
89,54.15,27.84
90,55.21,27.28
91,57.66,27.94
92,63.36,29.45
93,64.82,34.89
94,36.05,22.7
95,60.95,27.86
96,46.65,25.88
97,72.85,31.93
98,56.72,26.78
99,62.18,33.78
100,66.8,30.55
101,80.08,34.4
102,75.94,32.25
103,56.4,28.67
104,60.72,30.14
105,51.45,27.65
106,65.18,32.97
107,45.53,25.76
108,52.92,21.53
109,57.38,27.79
110,52.8,28.17
111,28.08,19.65
112,62.21,30.01
113,52.95,27.33
114,52.89,24.67
115,55.03,30.43
116,66.91,36.1
117,61.52,31.6
118,55.16,24.75
119,52.63,25.97
120,53.91,26.53
121,53.07,22.29
122,57.62,25.93
123,63.65,28.38
124,56.37,26.48
125,43.62,25.11
126,52.29,27.69
127,49.34,24.89
128,62.39,30.05
129,72.86,35.13
130,43.27,27.7
131,61.01,29.57
132,56.71,28.38
133,77.8,33.77
134,65.56,31.98
135,61.23,29.79
136,66.18,31.35
137,66.2,31.86
138,68.64,31.39
139,49.94,22.24
140,53.69,26.97
141,42.82,24.05
142,56.14,26.36
143,53.73,27.43
144,53.71,26.3
145,58.59,27.99
146,57.04,26.42
147,46.4,28.17
148,61.61,29.82
149,66.4,31.82
150,52,26.84
151,59.33,28.48
152,67.7,34.35
153,62.88,29.73
154,64.79,32.29
155,58.8,30.04
156,51.51,28.49
157,51.23,27.1
158,57.33,32.21
159,54.93,29.06
160,74.27,31.5
161,59.06,28.31
162,48.66,24.9
163,40.84,22.34
164,58.89,28.95
165,54.15,27.93
166,56.55,27.29
167,58.84,28.01
168,44.57,26.33
169,59.21,28.88
170,46.63,25.11
171,48.94,23.99
172,66.13,33.92
173,50.8,27.26
174,43.8,25.18
175,26.35,18.48
176,58.72,28.82
177,68.13,31.83
178,44.56,21.14
179,44.79,19.61
180,78.46,34.71
181,74.19,36
182,75.55,33.91
183,49.03,24.98
184,47.05,24.1
185,53.03,27.64
186,47.1,24.93
187,45.03,24.89
188,47.42,26.36
189,53.84,26.98
190,47.76,26.75
191,51.76,26.79
192,45.13,24.66
193,63.41,29.36
194,58.06,28.64
195,33.41,18.46
196,38.5,19.47
197,45.21,24.13
198,69.59,33.36
199,66.5,36.09
200,51.2,28.54
201,39.71,23.85
202,63.72,31.23
203,45.41,24.33
204,49.3,24.29
205,59.32,28.28
206,43.36,21.72
207,67.96,31.17
208,40.25,21.4
209,49.4,25.83
210,51,25.69
211,57.33,27.34
212,65.54,28.88
213,77.16,35.48
214,69.95,32.17
215,56.62,28.02
216,51,26.93
217,44.16,23.95
218,30.22,19.97
219,40.87,22.81
220,55.11,25.85
221,52.65,24.2
222,41.6,22.54
