Plot	UID	Species	T2Diam	T2Date	T1Diam	T1Date	T0Diam	T0Date																										
1	1603	Welfia_regia	16.4	1/14/09	16.9	04/19/07	16.90	02/11/05																										
1	1604	Pentaclethra_macroloba	34.4	1/14/09	36.6	04/19/07	37.30	02/11/05																										
1	1605	Socratea_exorrhiza	10.8	3/11/09	10.5	07/26/07	10.60	05/12/05																										
1	1606	Lonchocarpus_oliganthus	12.3	1/14/09	12.3	04/19/07	12.30	02/11/05																										
1	1607	Pentaclethra_macroloba	44.2	1/14/09	42.5	04/19/07	42.50	02/11/05																										
1	1608	Socratea_exorrhiza	13.8	1/14/09	13.8	07/26/07	14.00	02/11/05																										
1	1609	Stryphnodendron_microstachyum	56.3	3/11/09	55.9	07/26/07	54.00	05/12/05																										
1	1610	Annona_montana	6.2	1/14/09	6.2	04/19/07	6.20	02/11/05																										
1	1611	Guatteria_diospyroides	9.1	1/14/09	9	04/19/07	8.70	02/11/05																										
1	1612	Pourouma_bicolor	35.2	1/14/09	35.8	04/19/07	35.70	02/11/05																										
1	1613	Socratea_exorrhiza	14.0	3/11/09	14	07/26/07	15.20	05/12/05																										
1	1614	Socratea_exorrhiza	13.3	1/14/09	12.9	04/19/07	12.70	02/11/05																										
1	1615	Vismia_macrophylla	19.0	1/14/09	17.9	04/19/07	17.20	02/11/05																										
1	1616	Rinorea_deflexiflora	8.1	1/14/09	8	04/19/07	7.80	02/11/05																										
1	1617	Anaxagorea_crassipetala	8.1	1/14/09	8	04/19/07	7.70	02/11/05																										
1	1618	Anaxagorea_crassipetala	6.0	1/14/09	6	04/19/07	6.00	02/11/05																										
1	1619	Protium_costaricense	7.1	1/14/09	7	04/19/07	7.70	02/11/05																										
1	1620	Socratea_exorrhiza	8.3	1/14/09	8.7	04/19/07	8.70	02/11/05																										
1	1621	Guarea_macropetala	16.8	1/14/09	16.6	04/19/07	16.50	02/11/05																										
1	1622	Socratea_exorrhiza	6.9	1/14/09	6.9	04/19/07	6.90	02/11/05																										
1	1623	Socratea_exorrhiza	10.2	1/14/09	10.1	04/19/07	10.00	02/11/05																										
1	1624	Virola_sebifera	6.0	1/14/09	6	04/19/07	5.90	02/11/05																										
1	1625	Protium_pittieri	28.9	1/14/09	28.6	04/19/07	28.30	02/11/05																										
1	1626	Swartzia_simplex	6.6	1/14/09	6.6	04/19/07	6.50	02/11/05																										
1	1627	Quararibea_bracteolosa	5.6	1/14/09	5.6	04/19/07	5.40	02/11/05																										
1	1628	Socratea_exorrhiza	15.2	1/14/09	13.8	04/19/07	13.80	02/11/05																										
1	1629	Inga_acuminata	15.9	1/14/09	15.9	04/19/07	15.90	02/11/05																										
1	1630	Virola_sebifera	7.5	1/14/09	7.3	04/19/07	7.30	02/11/05																										
1	1631	Protium_pittieri						02/11/05																										
1	1632	Guarea_bullata	9.4	1/14/09	9	04/19/07	8.10	02/11/05																										
1	1633	Pourouma_bicolor						02/11/05																										
1	1634	Socratea_exorrhiza						02/11/05																										
1	1635	Cinnamomum_chavarrianum						02/11/05																										
1	1636	Cryosophila_warscewiczii	7.3	1/14/09	7.4	04/19/07	7.50	02/11/05																										
1	1637	Socratea_exorrhiza	14.9	3/11/09	14.9	07/26/07	15.80	02/11/05																										
1	1638	Cordia_dwyeri	12.2	1/14/09	11.6	04/19/07	11.03	02/11/05																										
1	1639	Cryosophila_warscewiczii				04/19/07	5.70	02/11/05																										
1	1640	Casearia_arborea	12.2	1/14/09	11.5	04/19/07	10.70	02/11/05																										
1	1641	Pentaclethra_macroloba	53.0	1/14/09	52.5	04/19/07	50.10	02/11/05																										
1	1642	Welfia_regia	14.4	1/14/09	14.2	04/19/07	14.10	02/11/05																										
1	1643	Protium_pittieri	27.8	1/14/09	27.5	04/19/07	27.30	02/11/05																										
1	1644	Ardisia_fimbrillifera	9.6	1/14/09	9.4	04/19/07	9.10	02/11/05																										
1	1645	Iriartea_deltoidea	15.7	1/14/09	15	04/19/07	15.20	02/11/05																										
1	1646	Marila_laxiflora	7.7	1/14/09	7.6	04/19/07	7.40	02/11/05																										
1	1647	Protium_costaricense	5.2	1/14/09	5.3	04/19/07	5.30	02/11/05																										
1	1648	Protium_panamense	22.7	1/14/09	22.2	04/19/07	22.00	03/03/05																										
1	1649	Welfia_regia	15.2	1/14/09	15	04/19/07	15.00	03/03/05																										
1	1650	Pentaclethra_macroloba	19.2	1/14/09	18.5	04/19/07	17.30	03/03/05																										
1	1651	Couepia_polyandra	42.8	1/14/09	42.6	04/19/07	42.60	03/03/05																										
1	1652	Protium_costaricense	7.9	1/14/09	7.7	04/19/07	7.40	03/03/05																										
1	1653	Capparis_pittieri	5.3	1/14/09	5.3	04/19/07	5.10	03/03/05																										
1	1654	Socratea_exorrhiza				04/19/07	12.20	03/03/05																										
1	1655	Vochysia_ferruginea	7.7	1/14/09	7.3	04/19/07	6.60	03/03/05																										
1	1656	Quararibea_bracteolosa	11.9	1/14/09	11.2	04/19/07	11.00	03/03/05																										
1	1657	Rinorea_deflexiflora	8.9	1/14/09	8.5	04/19/07	8.30	03/03/05																										
1	1658	Euterpe_precatoria	11.1	1/14/09	11.3	04/19/07	11.10	03/03/05																										
1	1658.1	Euterpe_precatoria				04/19/07	7.80	03/03/05																										
1	1659	Inga_densiflora		1/14/09	8.5	04/19/07	8.40	03/03/05																										
1	1660	Swartzia_simplex	6.6	1/14/09	6.5	04/19/07	6.40	03/03/05																										
1	1661	Garcinia_intermedia	10.0	1/14/09	9.5	04/19/07	9.00	03/03/05																										
1	1662	Socratea_exorrhiza	13.1	1/14/09	12.7	07/26/07	12.30	03/03/05																										
1	1663	Inga_densiflora	25.0	1/14/09	24.9	07/26/07	24.60	03/03/05																										
1	1664	Welfia_regia	16.7	1/14/09	16.6	04/19/07	16.60	03/03/05																										
1	1665	Perebea_angustifolia	8.7	1/14/09	8.6	04/19/07	8.50	03/03/05																										
1	1666	Socratea_exorrhiza	5.5	1/14/09	5.5	04/19/07	5.40	03/03/05																										
1	1667	Anaxagorea_crassipetala	7.1	1/14/09	7.1	04/19/07	6.80	03/03/05																										
1	1668	Capparis_pittieri	8.0	1/14/09	7.7	04/19/07	7.60	03/03/05																										
1	1669	Socratea_exorrhiza	17.9	3/11/09	17.9	07/26/07	17.90	05/12/05																										
1	1670	Pentaclethra_macroloba	56.8	3/11/09	56	07/26/07	55.00	05/12/05																										
1	1671	Protium_panamense						03/03/05																										
1	1672	Dystovomita_paniculata	8.3	1/14/09	7.9	04/19/07	7.50	03/03/05																										
1	1673	Dystovomita_paniculata	15.3	1/14/09	14.8	04/19/07	14.00	03/03/05																										
1	1674	Welfia_regia						03/03/05																										
1	1675	Iriartea_deltoidea	14.2	1/14/09	14	04/19/07	14.20	03/03/05																										
1	1676	Psychotria_elata						03/03/05																										
1	1677	Swartzia_simplex						03/03/05																										
1	1678	Dystovomita_paniculata	10.3	1/14/09	10	04/19/07	9.30	03/03/05																										
1	1679	Ormosia_intermedia sp.nov.indet	16.7	1/14/09	16.6	04/19/07	16.50	03/03/05																										
1	1680	Dystovomita_paniculata	25.0	1/14/09	24.6	04/19/07	24.10	03/03/05																										
1	1681	Welfia_regia						03/03/05																										
1	1682	Dystovomita_paniculata	12.8	1/14/09	12.8	04/19/07	12.30	03/03/05																										
1	1683	Vismia_macrophylla	14.4	1/14/09	14	04/19/07	12.50	03/03/05																										
1	1684	Virola_sebifera	7.9	1/14/09	7.4	04/19/07	7.00	03/03/05																										
1	1685	Vismia_macrophylla	12.5	1/14/09	12.1	04/19/07	11.40	03/03/05																										
1	1686	Psychotria_luxurians						03/03/05																										
1	1687	Xylopia_sericophylla 	11.1	1/14/09	10.8	04/19/07	10.10	03/03/05																										
1	1688	Laetia_procera				04/19/07	6.30	03/03/05																										
1	1689	Ormosia_intermedia sp.nov.indet	8.5	1/14/09	8.4	04/19/07	8.10	03/03/05																										
1	1690	Inga_thibaudiana	15.6	1/14/09	14.7	04/19/07	13.50	03/03/05																										
1	1691	Psychotria_elata		1/14/09	5.4	04/19/07	5.30	03/03/05																										
1	1692	Richeria_dressleri	10.0	1/14/09	9.9	04/19/07	9.70	03/03/05																										
1	1693	Guares_guidonia	24.8	1/14/09	23.9	04/19/07	23.30	03/03/05																										
1	1694	Pentaclethra_macroloba	9.4	1/14/09	9	04/19/07	8.60	03/03/05																										
1	1695	Maquira_costaricana	5.9	1/14/09	5.5	04/19/07	5.70	03/03/05																										
1	1696	Pourouma_minor	7.7	1/14/09	7.5	04/19/07	7.50	03/03/05																										
1	1697	Pouteria_torta	7.9	1/14/09	7.8	04/19/07	7.30	03/03/05																										
1	1698	Guarea_bullata	21.4	1/14/09	21.3	04/19/07	20.80	03/03/05																										
1	1699	Brosimum_lactescens	19.5	1/14/09	19.2	04/19/07	19.00	03/03/05																										
1	1700	Pentaclethra_macroloba	37.9	1/14/09	36.2	07/26/07	34.10	05/12/05																										
1	1701	Minquartia_guianensis	31.7	1/14/09	31.6	04/19/07	31.40	03/03/05																										
1	1702	Perebea_angustifolia	6.3	1/14/09	6.4	04/19/07	6.30	03/03/05																										
1	1703	Eschweilera _longirachis	7.1	1/14/09	7.1	04/19/07	7.00	03/03/05																										
1	1704	Cordia_bicolor	6.1	1/14/09	6.1	04/19/07	6.00	03/03/05																										
1	1705	Anaxagorea_crassipetala	6.3	1/14/09	6.2	04/19/07	6.20	03/03/05																										
1	1706	Theobroma_simiarum	10.6	1/14/09	10.6	04/19/07	10.60	03/03/05																										
1	1707	Anaxagorea_crassipetala	5.8	1/14/09	5.8	04/19/07	5.70	03/03/05																										
1	1708	Welfia_regia	19.4	1/14/09	19.2	04/19/07	19.20	03/03/05																										
1	1709	Miconia_multispicata				04/19/07	20.00	03/03/05																										
1	1710	Dystovomita_paniculata	10.0	1/14/09	9.6	04/19/07	9.10	03/03/05																										
1	1711	Capparis_pittieri	8.7	1/14/09	9.1	04/19/07	9.50	03/03/05																										
1	1712	Naucleopsis_naga	7.2	1/14/09	7.2	04/19/07	7.20	03/03/05																										
1	1713	Pentaclethra_macroloba	37.9	1/14/09	37.2	04/19/07	36.20	03/03/05																										
1	1714	Perebea_angustifolia	6.7	1/14/09	6.6	04/19/07	6.00	03/03/05																										
1	1715	Perebea_angustifolia	6.4	1/14/09	6.4	04/19/07	6.40	03/03/05																										
1	1716	Socratea_exorrhiza	9.3	1/14/09	8.9	04/19/07	7.90	03/03/05																										
1	1717	Pentaclethra_macroloba	11.9	1/14/09	12	04/19/07	11.90	03/03/05																										
1	1718	Anaxagorea_crassipetala		3/11/09	8.4	04/19/07	8.20	03/03/05																										
1	1719	Anaxagorea_crassipetala	7.4	1/14/09	7.2	04/19/07	7.20	03/03/05																										
1	1720	Welfia_regia	13.6	1/14/09	13.6	04/19/07	13.50	03/03/05																										
1	1721	Borojoa_panamensis	16.5	1/14/09	16.4	04/19/07	16.20	03/03/05																										
1	1722	Ampelocera_macrocarpa	5.7	1/14/09	5.8	04/19/07	5.80	03/03/05																										
1	1723	Pentaclethra_macroloba	34.3	1/14/09	33.9	04/19/07	33.20	03/03/05																										
1	1724	Euterpe_precatoria	10.2	1/14/09	10.2	04/19/07	10.20	03/03/05																										
1	1725	Carapa_nicaraguensis	15.2	1/14/09	15.3	04/19/07	15.20	03/03/05																										
1	1726	Ficus_popenoei	87.7	3/11/09	87.5	07/26/07	88.20	05/12/05																										
1	1727	Drypetes  _standleyi	15.6	1/14/09	7	04/19/07	6.70	03/03/05																										
1	1728	Socratea_exorrhiza	14.2	3/11/09	14.3	07/26/07	14.20	03/03/05																										
1	1729	Cryosophila_warscewiczii	7.0	1/14/09	7	04/19/07	6.80	03/03/05																										
1	1730	Cryosophila_warscewiczii	7.4	1/14/09	7.5	04/19/07	7.20	03/03/05																										
1	1731	Cryosophila_warscewiczii	5.9	1/14/09	5.9	04/19/07	5.80	03/03/05																										
1	1732	Dendropanax_arboreus	23.5	1/14/09	23.7	04/19/07	23.50	03/03/05																										
1	1733	Perebea_angustifolia	5.8	1/14/09	5.8	04/19/07	5.70	03/03/05																										
1	1734	Pentaclethra_macroloba			44.5	07/26/07		03/03/05																										
1	1735	Perebea_angustifolia	6.4	1/14/09	6.3	04/19/07	6.30	03/03/05																										
1	1736	Anaxagorea_crassipetala	8.2	1/14/09	8	04/19/07	7.40	03/03/05																										
1	1737	Iriartea_deltoidea						03/03/05																										
1	1738	Guarea_bullata	6.2	1/14/09	6.1	04/19/07	5.80	03/03/05																										
1	1739	Pentaclethra_macroloba	47.7	3/11/09	47	07/26/07	46.00	05/12/05																										
1	1740	Annona_montana						03/04/05																										
1	1741	Welfia_regia	14.0	1/14/09	14	04/19/07	13.90	03/04/05																										
1	1742	Socratea_exorrhiza	12.6	1/14/09	12.5	04/19/07	11.30	03/04/05																										
1	1743	Apeiba_membranacea	14.4	1/14/09	14.4	04/19/07	14.40	03/04/05																										
1	1744	Trophis_racemosa						03/04/05																										
1	1745	Virola_sebifera	5.5	1/14/09	5.5	04/19/07	5.30	03/04/05																										
1	1746	Cordia_bicolor	8.9	1/14/09	8.7	04/19/07	8.30	03/04/05																										
1	1747	Lozania_pittieri	7.9	1/14/09	7.6	04/19/07	7.00	03/04/05																										
1	1748	Minquartia_guianensis	14.0	1/14/09	14	04/19/07	13.80	03/04/05																										
1	1749	Welfia_regia	21.0	1/14/09	21	04/19/07	21.00	03/04/05																										
1	1750	Socratea_exorrhiza	8.3	1/14/09	7.5	04/19/07	7.00	03/04/05																										
1	1751	Carapa_nicaraguensis	9.2	1/14/09	8.7	04/19/07	8.60	03/04/05																										
1	1752	Socratea_exorrhiza	15.0	3/11/09	15	07/26/07	15.00	05/12/05																										
1	1753	Psychotria_panamensis	8.2	1/14/09	8	04/19/07	7.90	03/04/05																										
1	1754	Virola_sebifera	10.6	1/14/09	10.3	04/19/07	9.90	03/04/05																										
1	1755	Pouteria_reticulata	6.8	1/14/09	6.5	04/19/07	6.30	03/04/05																										
1	1756	Parathesis_trichogyne	9.6	1/14/09	8.8	04/19/07	8.00	03/04/05																										
1	1757	Pentaclethra_macroloba	39.6	1/14/09	38.4	04/19/07	37.70	03/04/05																										
1	1758	Eschweilera_longirachis	6.7	1/14/09	6.6	04/19/07	6.60	03/04/05																										
1	1759	Ardisia_fimbrillifera				04/19/07	9.00	03/04/05																										
1	1760	Welfia_regia	11.6	1/14/09	11.5	04/19/07	11.50	03/04/05																										
1	1761	Pentaclethra_macroloba	59.2	3/11/09	58.8	07/26/07	58.50	05/12/05																										
1	1762	Virola_sebifera	15.6	1/14/09	15	04/19/07	14.60	03/04/05																										
1	1763	Euterpe_precatoria	12.6	1/14/09	12.7	04/19/07	12.70	03/04/05																										
1	1764	Inga_densiflora	17.4	1/14/09	17.1	04/19/07	17.00	03/04/05																										
1	1765	Iriartea_deltoidea	14.0	1/14/09	13.3	04/19/07	12.30	03/04/05																										
1	1766	Protium_costaricense	7.9	1/14/09	7.5	04/19/07	7.50	03/04/05																										
1	1767	Welfia_regia						03/04/05																										
1	1768	Euterpe_precatoria						03/04/05																										
1	1769	Lacunaria_panamensis	14.7	1/14/09	14.3	04/19/07	13.50	03/04/05																										
1	1770	Protium_panamense						03/04/05																										
1	1771	Laetia_procera	60.2	1/14/09	59.2	07/26/07	58.50	05/12/05																										
1	1772	Socratea_exorrhiza						03/04/05																										
1	1773	Borojoa_panamensis				04/19/07	6.20	03/04/05																										
1	1774	Naucleopsis_naga	9.9	1/14/09	9.9	04/19/07	9.20	03/04/05																										
1	1775	Cryosophila_warscewiczii				04/19/07	5.40	03/04/05																										
1	1776	Hippotis_albiflora	11.2	1/14/09	11.2	04/19/07	11.00	03/04/05																										
1	1777	Pentaclethra_macroloba	48.6	1/14/09	48	04/19/07	47.20	03/04/05																										
1	1778	Protium_costaricense						03/04/05																										
1	1779	Guarea_guidonia	24.9	1/14/09	24.7	04/19/07	24.70	03/04/05																										
1	1780	Swartzia_simplex	6.6	1/14/09	6.6	04/19/07	6.60	03/04/05																										
1	1781	Virola_sebifera	28.1	1/14/09	26.3	04/19/07	24.40	03/04/05																										
1	1782	Lozania_pittieri	7.1	1/14/09	7	04/19/07	6.50	03/04/05																										
1	1783	Pentaclethra_macroloba	15.8	1/14/09	15	04/19/07	14.00	03/04/05																										
1	1784	Pouteria_glomerata	14.9	1/14/09	14.8	04/19/07	14.50	03/04/05																										
1	1785	Richeria_dressleri	12.4	1/14/09	12	04/19/07	11.30	03/04/05																										
1	1786	Perebea_angustifolia	7.8	1/14/09	7.5	04/19/07	7.40	03/07/05																										
1	1787	Iriartea_deltoidea	13.9	1/14/09	13.8	04/20/07	13.10	03/07/05																										
1	1788	Cordia_bicolor	5.4	1/14/09	5.2	04/20/07	5.10	03/07/05																										
1	1789	Ormosia_intermedia	32.2	1/14/09	32	04/20/07	31.90	03/07/05																										
1	1790	Welfia_regia	15.7	1/14/09	15.8	04/20/07	15.80	03/07/05																										
1	1791	Conceveiba_pleiostemona	37.7	3/11/09	36.9	07/26/07	36.50	03/07/05																										
1	1792	Hippotis_albiflora	13.2	1/14/09	12.6	04/20/07	12.98	03/07/05																										
1	1793	Welfia_regia				04/20/07	19.20	03/07/05																										
1	1794	Zygia_gigantifoliola	9.6	1/14/09	9.5	04/20/07	9.50	03/07/05																										
1	1795	Cryosophila_warscewiczii	5.8	1/14/09	6	04/20/07	6.00	03/07/05																										
1	1796	Ocotea_meziana	23.2	1/14/09	24.8	04/20/07	24.80	03/07/05																										
1	1797	Iriartea_deltoidea				04/20/07	8.10	03/07/05																										
1	1798	Guarea_bullata	13.2	1/14/09	12.6	04/20/07	11.30	03/07/05																										
